idx,BuoyID
0,100000000000600
1,127317
2,132739
3,139939
4,145803
5,145846
6,145848
7,145888
8,145895
9,145898
10,145901
11,145919
12,145931
13,145932
14,145939
15,174639
16,174641
17,174646
18,204764
19,210164
20,300025010025480
21,300025010247950
22,300025010644540
23,300025010649550
24,300025010734900
25,300025010923700
26,300025060010720
27,300025060013160
28,300025060015720
29,300025060016190
30,300025060016600
31,300025060016730
32,300025060101040
33,300025060103020
34,300025060111910
35,300025060203170
36,300025060205330
37,300025060314090
38,300025060405040
39,300025060605430
40,300025060605620
41,300025060605890
42,300025060606890
43,300025060607470
44,300025060608650
45,300025060609430
46,300025060612750
47,300025060613750
48,300025060614630
49,300125060315490
50,300234010077180
51,300234010082440
52,300234010084660
53,300234010255800
54,300234010303850
55,300234010307830
56,300234011091780
57,300234011097770
58,300234011541420
59,300234011750710
60,300234011751700
61,300234011752700
62,300234011880340
63,300234011881340
64,300234011882340
65,300234011883240
66,300234011885340
67,300234011888330
68,300234011889340
69,300234060104820
70,300234060108820
71,300234060321940
72,300234060324930
73,300234060330560
74,300234060340370
75,300234060430010
76,300234060434550
77,300234060543140
78,300234060726880
79,300234060727760
80,300234060728940
81,300234060729780
82,300234060734030
83,300234060738030
84,300234060838110
85,300234060842950
86,300234061152630
87,300234061162590
88,300234061163530
89,300234061188690
90,300234061263820
91,300234061471310
92,300234061872720
93,300234062321110
94,300234062427070
95,300234062428050
96,300234062429060
97,300234062442620
98,300234062552760
99,300234062559750
100,300234062788480
101,300234062881810
102,300234062881930
103,300234062887920
104,300234062922670
105,300234062923840
106,300234062957210
107,300234062957280
108,300234062991690
109,300234063064350
110,300234063227960
111,300234063251960
112,300234063257950
113,300234063259870
114,300234063259970
115,300234063313650
116,300234063321150
117,300234063482360
118,300234063484380
119,300234063486690
120,300234063487390
121,300234063488690
122,300234063489380
123,300234063511510
124,300234063513460
125,300234063515450
126,300234063518430
127,300234063518440
128,300234063730900
129,300234063739800
130,300234063788900
131,300234063801040
132,300234063802010
133,300234063803010
134,300234064010010
135,300234064011000
136,300234064015020
137,300234064132630
138,300234064136690
139,300234064233210
140,300234064502570
141,300234064503600
142,300234064816070
143,300234064817090
144,300234064817930
145,300234064819860
146,300234064819910
147,300234065090840
148,300234065091110
149,300234065091830
150,300234065094850
151,300234065170760
152,300234065171770
153,300234065171790
154,300234065174770
155,300234065176750
156,300234065177750
157,300234065495020
158,300234065511400
159,300234065511570
160,300234065511680
161,300234065512330
162,300234065515750
163,300234065581610
164,300234065582290
165,300234065615560
166,300234065625400
167,300234065628980
168,300234065705750
169,300234065716210
170,300234065717110
171,300234065717220
172,300234065719080
173,300234065719110
174,300234065722000
175,300234065741760
176,300234065741790
177,300234065742680
178,300234065742820
179,300234065748690
180,300234065762290
181,300234065762510
182,300234065765720
183,300234065768480
184,300234065800000
185,300234065801030
186,300234065801040
187,300234065862140
188,300234065980580
189,300234065980590
190,300234065981590
191,300234065982560
192,300234065984580
193,300234065985570
194,300234065988570
195,300234066034140
196,300234066035120
197,300234066038230
198,300234066080130
199,300234066080170
200,300234066080220
201,300234066081140
202,300234066081170
203,300234066081180
204,300234066081220
205,300234066082230
206,300234066083120
207,300234066083130
208,300234066084230
209,300234066085220
210,300234066087160
211,300234066087170
212,300234066087220
213,300234066088170
214,300234066089220
215,300234066212670
216,300234066212680
217,300234066212710
218,300234066212880
219,300234066217660
220,300234066217720
221,300234066217770
222,300234066217780
223,300234066217890
224,300234066218700
225,300234066218720
226,300234066253880
227,300234066304200
228,300234066340550
229,300234066341810
230,300234066342550
231,300234066342810
232,300234066342820
233,300234066343810
234,300234066344810
235,300234066344820
236,300234066345810
237,300234066346540
238,300234066347810
239,300234066347840
240,300234066412770
241,300234066412790
242,300234066412870
243,300234066412940
244,300234066413390
245,300234066413730
246,300234066413740
247,300234066413760
248,300234066414820
249,300234066414920
250,300234066414930
251,300234066414940
252,300234066415350
253,300234066416940
254,300234066416950
255,300234066416960
256,300234066417330
257,300234066417910
258,300234066419320
259,300234066436320
260,300234066436380
261,300234066437110
262,300234066438360
263,300234066438870
264,300234066438880
265,300234066444880
266,300234066532030
267,300234066534020
268,300234066791780
269,300234066797650
270,300234066890260
271,300234066891240
272,300234066893230
273,300234066894280
274,300234066895270
275,300234066898220
276,300234066898280
277,300234066995900
278,300234067009210
279,300234067061400
280,300234067064370
281,300234067064490
